id,left,top,right,bottom,image,valid,user,origin_source_id,,
75,0.3966,0.1858,0.8931,1,cropped-images-dev/4MIGM9TL9HF_1.jpg,1,3,10908,NULL,NULL
76,0.0655,0.0272,0.9759,0.9996,cropped-images-dev/9WDLPW2XG9R_1.jpg,1,3,10909,NULL,NULL
77,0.2034,0.0341,0.7828,0.9169,cropped-images-dev/K6G2NUNUBZE_1.jpg,1,3,10910,NULL,NULL
78,0.1,0.2272,0.9138,1,cropped-images-dev/KAK8GFOGQGP_1.jpg,1,3,10911,NULL,NULL
79,0.2241,0.0031,0.8966,0.9686,cropped-images-dev/AC84XJLNJ5S_1.jpg,1,3,10912,NULL,NULL
80,0.2172,0.2927,0.9517,0.9824,cropped-images-dev/HDU53O25F2K_1.jpg,1,3,10913,NULL,NULL
81,0.1724,0.3617,0.8345,0.7548,cropped-images-dev/3MU902SM9QH_2.jpg,1,3,10914,NULL,NULL
82,0.3483,0.1031,0.9759,0.5686,cropped-images-dev/38BUKYLX7OV_1.jpg,1,3,10915,NULL,NULL
83,0.0241,0.0548,0.8655,1,cropped-images-dev/J304NX2R2JH_1.jpg,1,3,10916,NULL,NULL
84,0.031,0.2238,0.9,0.9514,cropped-images-dev/K78ZEGE9S1H_1.jpg,1,3,10917,NULL,NULL
85,0.1345,0.1134,0.8379,0.8858,cropped-images-dev/M4OJHODQ0EZ_1.jpg,1,3,10918,NULL,NULL
86,0.1276,0,0.8586,0.872,cropped-images-dev/P92D91V2QMT_1.jpg,1,3,10919,NULL,NULL
87,0.1655,0.2479,0.8379,0.8583,cropped-images-dev/3OIQDTREI8U_1.jpg,1,3,10920,NULL,NULL
88,0.369,0.0031,0.9828,0.9927,cropped-images-dev/U2TV4ZM74VI_1.jpg,1,3,10921,NULL,NULL
89,0.0655,0.1307,0.9552,0.9445,cropped-images-dev/MK2QSJ20DMI_1.jpg,1,3,10922,NULL,NULL
90,0,0,1,1,cropped-images-dev/FNZ09HVM9UQ_1.jpg,1,3,10924,NULL,NULL
91,0,0.0548,0.8517,0.8445,cropped-images-dev/UN7EBB4296Q_1.jpg,1,3,10925,NULL,NULL
92,0.3552,0.1376,0.6621,0.4203,cropped-images-dev/HJHAV6LEDUO_1.jpg,1,3,10926,NULL,NULL
93,0.3483,0,0.9069,0.7514,cropped-images-dev/4RCDP30RNSK_1.jpg,1,3,10927,NULL,NULL
94,0.0172,0.2893,0.7069,0.9996,cropped-images-dev/M2OBRF4J0IZ_1.jpg,1,3,10928,NULL,NULL
95,0.0414,0.1134,0.9517,0.9272,cropped-images-dev/Q4GT8GWCJNH_1.jpg,1,3,10929,NULL,NULL
96,0,0.0962,0.9793,1,cropped-images-dev/E34IY3LSV3L_1.jpg,1,3,10930,NULL,NULL
97,0.1379,0.0134,0.8552,0.9031,cropped-images-dev/1SR1OWC1XGP_1.jpg,1,3,10932,NULL,NULL
98,0.0172,0.0479,0.8552,0.8858,cropped-images-dev/SKKSMY3HYJU_1.jpg,1,3,10933,NULL,NULL
99,0.1621,0.1238,0.9138,0.9445,cropped-images-dev/T0H4ZFB7CFY_1.jpg,1,3,10934,NULL,NULL
100,0.0103,0.1858,0.8862,1,cropped-images-dev/5FJG9WEP9YJ_1.jpg,1,3,10935,NULL,NULL
101,0.0966,0.2652,0.8655,0.8031,cropped-images-dev/IVZXMQJB83U_1.jpg,1,3,10936,NULL,NULL
102,0.2103,0.1514,0.6862,0.9996,cropped-images-dev/M3R83QR8B2D_1.jpg,1,3,10937,NULL,NULL
103,0.3276,0.0962,0.9241,1,cropped-images-dev/0TEIGECPB6H_1.jpg,1,3,10938,NULL,NULL
104,0.0069,0.1652,0.9862,0.9686,cropped-images-dev/0I51WOIAM4K_1.jpg,1,3,10939,NULL,NULL
105,0.3552,0.0341,0.9931,0.7445,cropped-images-dev/RJWQ6WDJ08T_1.jpg,1,3,10940,NULL,NULL
106,0.3552,0.1652,0.8379,0.9376,cropped-images-dev/1343YPNLLTF_1.jpg,1,3,10941,NULL,NULL
107,0.0724,0.0755,0.9069,0.8824,cropped-images-dev/O6ISPY5QQ1A_1.jpg,1,3,10942,NULL,NULL
108,0.2517,0.0134,0.9483,0.8548,cropped-images-dev/9PMGESUN3GN_1.jpg,1,3,10943,NULL,NULL
109,0.3724,0.1927,0.9103,0.979,cropped-images-dev/72JFHSE6UKO_1.jpg,NULL,3,10944,NULL,NULL
110,0.2724,0.0893,0.7448,0.9376,cropped-images-dev/EGZKDBWBBIL_1.jpg,1,3,10945,NULL,NULL
111,0.1759,0.1272,0.8241,0.8686,cropped-images-dev/2B1PW0BOULL_1.jpg,1,3,10946,NULL,NULL
112,0.031,0.0445,0.9379,0.9686,cropped-images-dev/LKEJ5HBNB5E_1.jpg,1,3,10947,NULL,NULL
113,0.1414,0.0996,0.8379,0.9031,cropped-images-dev/SDTBFPB70BK_1.jpg,1,3,10948,NULL,NULL
114,0.1897,0.0341,0.8241,1,cropped-images-dev/2697KWRNYXD_1.jpg,1,3,10949,NULL,NULL
115,0.0828,0.0134,0.5759,0.979,cropped-images-dev/887137WAS0I_1.jpg,1,3,10950,NULL,NULL
116,0.0552,0.2341,0.9069,0.8617,cropped-images-dev/6CPS5PIK77A_1.jpg,1,3,10952,NULL,NULL
117,0.0793,0.2272,0.9138,0.8341,cropped-images-dev/E0TQO0DDZKS_1.jpg,1,3,10953,NULL,NULL
118,0.031,0.1927,0.9621,0.8203,cropped-images-dev/F7FEXDMTJIZ_1.jpg,1,3,10954,NULL,NULL
119,0.0552,0.2893,0.8379,0.8548,cropped-images-dev/OEDTD9IA8UK_1.jpg,1,3,10955,NULL,NULL
120,0.0931,0.2652,0.8931,0.8307,cropped-images-dev/ELJBD27EDOM_1.jpg,1,3,10956,NULL,NULL
121,0.1379,0.2514,0.869,0.8134,cropped-images-dev/RUZJV3ND46L_1.jpg,1,3,10957,NULL,NULL
122,0.3276,0.3996,0.9966,0.941,cropped-images-dev/IHYOLY3WQ2S_1.jpg,1,3,11008,NULL,NULL
123,0.3414,0.041,0.8517,0.6376,cropped-images-dev/9AGG2O8LYJY_1.jpg,1,3,11009,NULL,NULL
124,0.0241,0.1686,0.6931,0.941,cropped-images-dev/R2U6QOULS3N_1.jpg,1,3,11010,NULL,NULL
125,0.2517,0.0341,0.8448,0.9169,cropped-images-dev/5OXP8ENL98D_1.jpg,NULL,3,11011,NULL,NULL
126,0.1759,0.1238,0.831,0.872,cropped-images-dev/NFEER9Y2FWD_1.jpg,1,3,11012,NULL,NULL
127,0.3621,0.2376,0.9828,0.972,cropped-images-dev/ZUQQZRPJCXI_1.jpg,1,3,11013,NULL,NULL
128,0.1241,0.1548,0.8966,0.8583,cropped-images-dev/2IWZGJ9ZDMZ_1.jpg,1,3,11014,NULL,NULL
129,0.2759,0.0583,0.8724,0.572,cropped-images-dev/HFHL8PR6DSM_1.jpg,1,3,11015,NULL,NULL
130,0.331,0.1548,0.7483,0.9962,cropped-images-dev/RTPP4LTVM4Y_1.jpg,1,3,11016,NULL,NULL
131,0.1621,0.0203,0.7448,0.9652,cropped-images-dev/GIHQRCZ9QUG_1.jpg,1,3,11017,NULL,NULL
132,0.0138,0.1686,0.4379,0.8445,cropped-images-dev/GEY24F0EK9T_1.jpg,1,3,11018,NULL,NULL
133,0.2483,0.11,0.8034,0.8893,cropped-images-dev/152DT52KD5U_1.jpg,1,3,11019,NULL,NULL
134,0.1138,0.1134,0.8862,0.8962,cropped-images-dev/ZU9R6WYEY0B_1.jpg,1,3,11020,NULL,NULL
135,0.1897,0.0272,0.8414,0.9686,cropped-images-dev/12ADBMNDC8O_1.jpg,NULL,3,11021,NULL,NULL
136,0.1379,0.2065,0.8241,0.9858,cropped-images-dev/OV47PFG19NU_1.jpg,1,3,11022,NULL,NULL
