id,left,top,right,bottom,image,valid,assigned_user_id,origin_source_id,,tag_id,usable
75,0.3966,0.1858,0.8931,1,cropped-images-dev/4MIGM9TL9HF_2.jpg,1,3,10908,NULL,NULL,0
76,0.0655,0.0272,0.9759,0.9996,cropped-images-dev/9WDLPW2XG9R_2.jpg,1,3,10909,NULL,NULL,0
77,0.2034,0.0341,0.7828,0.9169,cropped-images-dev/K6G2NUNUBZE_2.jpg,1,3,10910,NULL,NULL,0
78,0.1,0.2272,0.9138,1,cropped-images-dev/KAK8GFOGQGP_2.jpg,1,3,10911,NULL,NULL,0
79,0.2241,0.0031,0.8966,0.9686,cropped-images-dev/AC84XJLNJ5S_2.jpg,1,3,10912,NULL,NULL,0
80,0.2172,0.2927,0.9517,0.9824,cropped-images-dev/HDU53O25F2K_2.jpg,1,3,10913,NULL,NULL,0
81,0.1724,0.3617,0.8345,0.7548,cropped-images-dev/3MU902SM9QH_3.jpg,1,3,10914,NULL,NULL,0
82,0.3483,0.1031,0.9759,0.5686,cropped-images-dev/38BUKYLX7OV_2.jpg,1,3,10915,NULL,NULL,0
83,0.0241,0.0548,0.8655,1,cropped-images-dev/J304NX2R2JH_2.jpg,1,3,10916,NULL,NULL,0
84,0.031,0.2238,0.9,0.9514,cropped-images-dev/K78ZEGE9S1H_2.jpg,1,3,10917,NULL,NULL,0
85,0.1345,0.1134,0.8379,0.8858,cropped-images-dev/M4OJHODQ0EZ_2.jpg,1,3,10918,NULL,NULL,0
86,0.1276,0,0.8586,0.872,cropped-images-dev/P92D91V2QMT_2.jpg,1,3,10919,NULL,NULL,0
87,0.1655,0.2479,0.8379,0.8583,cropped-images-dev/3OIQDTREI8U_2.jpg,1,3,10920,NULL,NULL,0
88,0.369,0.0031,0.9828,0.9927,cropped-images-dev/U2TV4ZM74VI_2.jpg,1,3,10921,NULL,NULL,0
89,0.0655,0.1307,0.9552,0.9445,cropped-images-dev/MK2QSJ20DMI_2.jpg,1,3,10922,NULL,NULL,0
90,0,0,1,1,cropped-images-dev/FNZ09HVM9UQ_2.jpg,1,3,10924,NULL,NULL,0
91,0,0.0548,0.8517,0.8445,cropped-images-dev/UN7EBB4296Q_2.jpg,1,3,10925,NULL,NULL,0
92,0.3552,0.1376,0.6621,0.4203,cropped-images-dev/HJHAV6LEDUO_2.jpg,1,3,10926,NULL,NULL,0
93,0.3483,0,0.9069,0.7514,cropped-images-dev/4RCDP30RNSK_2.jpg,1,3,10927,NULL,NULL,0
